id,group,exit_code,steps_hint,artifact_count
C-progress,,0,,5KB
C-control-endtest,,0,,2KB
C-l285-curl,,0,,1KB
C-status-brief,,0,,6KB
C-progress-overall,,0,,5KB
C-done-usability,,0,,5KB
C-fix-status,,143,,8KB
C-data-accuracy,,0,,4KB
C-data-instability,,0,,6KB
C-bug-report,,0,,7KB
C-retest-fail,,0,,5KB
C-yes-no-demand,,0,,4KB
C-target-correct,,0,,3KB
C-self-assess,,0,,7KB
